# jaccard | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
MP14_EMT_3,0.0,0.0105,0.0,0.0102,0.0312,0.0,0.0101,0.0,0.0,0.0,0.0208,0.0989,1.0,0.0,0.0208,0.0638,0.0417,0.0,0.0104,0.0,0.087,0.0645,0.0526,0.0103,0.0208,0.0114,0.0
MP15_EMT_4,0.0,0.0,0.0109,0.0211,0.0211,0.011,0.0,0.0,0.0211,0.0,0.0909,0.0316,0.0,1.0,0.0549,0.0426,0.0,0.0,0.0,0.0108,0.0652,0.0211,0.0316,0.0213,0.0,0.0116,0.023
MP17_INTERFERON_MHC_II_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.0211,0.0,0.0213,0.0,0.0208,0.0549,1.0,0.1264,0.0103,0.0,0.0,0.0,0.0208,0.0,0.0208,0.0105,0.0,0.0116,0.0
MP18_INTERFERON_MHC_II_2,0.0,0.0,0.0,0.0,0.0312,0.0,0.0101,0.0,0.0206,0.0,0.0769,0.0309,0.0638,0.0426,0.1264,1.0,0.0204,0.0,0.0104,0.0105,0.1111,0.0102,0.0417,0.0889,0.0,0.0,0.0
MP19_EPITHELIAL_SENESCENCE,0.0,0.0,0.0,0.0,0.0102,0.0,0.0101,0.0,0.0102,0.0,0.0,0.0309,0.0417,0.0,0.0103,0.0204,1.0,0.0102,0.0,0.0105,0.0101,0.0102,0.1236,0.0,0.0,0.0,0.0
MP20_MYC,0.0,0.092,0.0,0.0,0.0208,0.0,0.0312,0.0,0.0,0.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,1.0,0.0435,0.0,0.0,0.0208,0.0,0.0,0.0104,0.0,0.0112
MP21_RESPIRATION,0.0,0.0568,0.0,0.0,0.0,0.0,0.0104,0.0108,0.0,0.011,0.0106,0.0104,0.0104,0.0,0.0,0.0104,0.0,0.0435,1.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0
MP38_GLUTATHIONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326,0.0,0.0,0.0,0.0,0.0108,0.0,0.0105,0.0105,0.0,0.0,1.0,0.0,0.0,0.0213,0.0108,0.0,0.0,0.0
MP39_METAL_RESPONSE,0.0,0.0,0.0,0.0421,0.0761,0.0444,0.0101,0.0,0.0,0.0215,0.0889,0.0753,0.087,0.0652,0.0208,0.1111,0.0101,0.0,0.0104,0.0,1.0,0.0206,0.0204,0.0538,0.0103,0.0114,0.0
MP22_SECRETED_1,0.0,0.0,0.0,0.0538,0.0208,0.0,0.0102,0.0,0.0,0.0108,0.0,0.0312,0.0645,0.0211,0.0,0.0102,0.0102,0.0208,0.0,0.0,0.0206,1.0,0.0421,0.0,0.0104,0.0,0.0
MP23_SECRETED_2,0.0,0.0,0.0,0.0102,0.0102,0.0,0.0,0.0,0.0206,0.0,0.0103,0.0309,0.0526,0.0316,0.0208,0.0417,0.1236,0.0,0.0,0.0213,0.0204,0.0421,1.0,0.0208,0.0,0.0,0.0
MP25_ASTROCYTES,0.0,0.0,0.0,0.0319,0.0319,0.011,0.0,0.0,0.0104,0.0,0.0549,0.0426,0.0103,0.0213,0.0105,0.0889,0.0,0.0,0.0,0.0108,0.0538,0.0,0.0208,1.0,0.0105,0.0,0.0
MP33_RBCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0,0.0104,0.0109,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0103,0.0104,0.0,0.0105,1.0,0.0,0.0
MP36_IG,0.0,0.0,0.0,0.0353,0.0115,0.0375,0.0,0.0488,0.0115,0.0,0.0116,0.0,0.0114,0.0116,0.0116,0.0,0.0,0.0,0.0,0.0,0.0114,0.0,0.0,0.0,0.0,1.0,0.0127
MP41_UNASSIGNED,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0353,0.0345,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,1.0
